国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Lebanon,Rachiaya,0.07120295310005231,0.9049094213508472,0.23518438954409857,2.8927488116003985e-07,✓,16
Yemen,Bayhan,0.06919894111557189,0.5022259734688602,0.07589151615023317,0.05184668665748232,,20
Palestine,Bethlehem,0.06913970227836089,0.8897774172421612,0.1416441528538542,0.0002912055337284669,✓,10
Yemen,Maqbanah,0.06780882905582185,0.7970246935953361,0.1132985253222574,0.00043770250432956237,✓,46
Syria,Mayadin,0.06487661528091422,0.8764146973227144,0.1816026244732387,3.0232157000043e-08,✓,266
Israel,HaMerkaz,0.06466548170549422,0.9043215737199078,0.32870776679614605,1e-10,✓,128
Palestine,Jerusalem,0.06308593258639644,0.8636086455741624,0.05579514639846689,0.008128459097958951,✓,10
Syria,Markaz Rif Dimashq,0.06303486345981663,0.7094585849156079,0.18978979559965733,3.635425123965641e-05,✓,100
Israel,Tel Aviv,0.06163419744218305,0.9189244764034215,0.2576594823716273,1e-10,✓,100
Yemen,Sirwah,0.057914286771135706,0.8388773800354308,0.1112858255829694,0.0024578527617206136,✓,27
Yemen,Manakhah,0.057666198160841196,0.8760089615241634,0.07279947939870286,0.0474421554794795,✓,2
Palestine,Saravan,0.056920371306736675,1e-06,0.05692305201612617,0.13966521565396772,,13
Yemen,Al Ma'afer,0.05691961696905937,1e-06,0.04330860434750283,0.13966580340127194,,13
Yemen,Midi,0.05601909504520774,0.5033075826852008,0.07342550568424326,0.10223266815066462,,9
Yemen,Al Abdiyah,0.055312255005263745,0.8371382414016075,0.0825967818820264,0.03218537631958629,✓,5
Syria,An-Nabk,0.05491562468650211,0.7091679202994656,0.05756179193216277,0.06414869780966082,,8
Yemen,At Tuhayat,0.054786432493748725,0.8998984764562568,0.16756271267402792,8.149069454788105e-07,✓,53
Syria,At-Tall,0.05282042557009302,0.7871056829634689,0.10092623679495474,0.024262390274382595,✓,7
Syria,Al-Hasakah,0.05274111122848353,0.899021318394824,0.18077022525857125,1.596224109556843e-07,✓,228
Palestine,Qalqilya,0.05272108590961638,0.11395688253287789,0.0443103001629823,0.12602764876220268,,37
Lebanon,Akkar,0.05241396327018896,0.8936659074380049,0.11302541337798384,2.0220896558509338e-05,✓,23
Yemen,Shada'a,0.051915903066448346,0.9149798483252322,0.1696273532332323,3.0332067430638432e-05,✓,31
Yemen,Majz,0.05068829914294591,0.9205183385928781,0.13888667080958156,0.00019885352745613316,✓,10
Yemen,Al Azariq,0.046796909379153866,0.8333298383489263,0.0535958836347412,0.09502884894349606,,3
Syria,Daraa,0.04634414053325075,0.49476087402820274,0.061224891672564674,0.05063906577201527,,126
Palestine,Tulkarm,0.04624835701340562,0.9184877657424657,0.12669746903921222,0.00016314702692465932,✓,71
Yemen,Merkhah As Sufla,0.04536815016079754,0.7729003866414447,0.05228191429934651,0.11265577077805006,,4
Palestine,Jenin,0.04473806594841232,0.9276377671576284,0.21096839485171054,1.7455121459342138e-08,✓,160
Syria,Quneitra,0.04386258093189319,0.8787135605726212,0.10201909912211124,0.002637048521279939,✓,64
Yemen,Hayfan,0.04323894088640419,1e-06,0.04325526847453143,0.19066725069241297,,15
Yemen,Baqim,0.04134511905192591,0.7853742886752956,0.06544863022561306,0.07028489668925852,,17
Syria,Duma,0.03966529779433749,0.9281383187497125,0.12790661443911214,0.0009331819257389351,✓,25
Syria,Masyaf,0.03740696486583107,0.8391391607790687,0.07943190274721593,0.05515457407105756,,9
Yemen,Ad Durayhimi,0.03708534992764618,0.9189415488371031,0.13105547336901294,0.00048198704744406573,✓,38
Yemen,Hamdan,0.036174894135725284,0.8795392899954121,0.08670298827453457,0.018532963096986266,✓,10
Yemen,Ad Dhale'e,0.03617483235983817,0.8817940758730815,0.08104352779930017,0.022650840349241197,✓,35
Yemen,Usaylan,0.0361097282912863,0.9382679597951866,0.0835997249998164,0.026501848978755738,✓,3
Syria,Al-Haffah,0.03610866935363131,0.9208454940870673,0.10011811715211068,0.0037573123378693563,✓,59
Syria,Salkhad,0.03546231987962332,0.9056169285753047,0.11351804039555047,0.00015283645911934318,✓,25
Syria,Palmyra,0.03494139770920801,0.9250178051488996,0.09059506763775932,0.0010465731866731165,✓,202
Yemen,At Ta'iziyah,0.03432534455677589,0.8132014786943121,0.050777126100616375,0.08110233436673975,,30
Yemen,Qa'atabah,0.032490359118593354,0.9501318378591688,0.16477771800555602,7.783950240258797e-06,✓,75
Yemen,Lawdar,0.03047632432875668,0.9183053642018536,0.09290756627374168,0.01007107084625064,✓,33
Palestine,Tubas,0.028912982590727575,0.9514310571284424,0.10765103815034542,0.0006843777188961786,✓,37
Yemen,Al Khalq,0.028479748101870764,0.9665001146900241,0.1173731374281436,0.005524853627603854,✓,4
Yemen,Marib,0.02701668709797651,0.6890543526408227,0.04052423813227326,0.18863419435085538,,22
Yemen,Al Hawak,0.023634333235981044,0.49133140297569433,0.03951148965042249,0.21293435755543783,,27
Yemen,Al Hali,0.021625935803042017,0.7177834027723385,0.02828244012580939,0.232407332585931,,43
