区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
157,Torez'ka,Donets'k,0.05125406985602794,0.8333390682051136,0.06022725357844777,0.04391037750594834,True,3
483,Nedryhailivs'kyi,Sumy,0.0508221268081751,0.9113590706131157,0.12833859107544648,4.6014461856924704e-06,True,26
184,Chuhu‹vs'ka,Kharkiv,0.05078949610694288,0.9391641478149173,0.5093538979833281,1e-10,True,175
86,Dnipropetrovs'kyi,Dnipropetrovs'k,0.0505064053911529,0.669037331858445,0.04631914986740692,0.05910444242313567,False,10
420,Tatarbunars'kyi,Odessa,0.04938952583331139,0.9428919294886131,0.12999237436260586,2.3334127369212254e-07,True,11
358,Pereval's'kyi,Luhans'k,0.04884260998906535,0.9340219702595494,0.20198313001434967,1.3155249112273282e-10,True,30
292,Sviatoshyns'kyi,Kiev City,0.047319681788503445,0.8415308122941811,0.16518466033920715,0.00021769223308804042,True,24
147,Oleksandrivs'kyi,Donets'k,0.04715000618347919,0.9345404805498309,0.12997090626951083,1.546451791623049e-07,True,28
43,Semenivs'kyi,Chernihiv,0.046975813015659236,0.9542978463412871,0.689760692889639,1e-10,True,3072
25,Bobrovyts'kyi,Chernihiv,0.04651700760822999,0.8914218149264085,0.07554992741616531,0.0015231908083007117,True,10
601,Zaporiz'kyi,Zaporizhia,0.045769103798840124,0.9477666199778401,0.3535801417529368,1e-10,True,251
588,Novomykola‹vs'kyi,Zaporizhia,0.04541761720761711,0.4937283390872507,0.05251671025244802,0.053261694584164354,False,39
71,Krasnohvardiis'kyi,Crimea,0.045404940606938116,0.5314057418007202,0.02344613731667321,0.15341951736430665,False,7
202,Pervomais'kyi,Kharkiv,0.04502416879547809,0.48823419659658635,0.031171764920494487,0.10714839047212882,False,15
599,Vil'nians'kyi,Zaporizhia,0.04459750209875514,0.9140432276455394,0.20557889006798008,1e-10,True,80
491,Shostkins'kyi,Sumy,0.044562943634939824,0.49177295737897586,0.04279741592189088,0.07943260721460765,False,21
115,Amvrosi‹vs'kyi,Donets'k,0.04449276129220265,0.9458853226190502,0.22206504727704268,1e-10,True,34
485,Okhtyrs'kyi,Sumy,0.04409344355772131,0.94077414129823,0.2002815293041822,1e-10,True,74
290,Shevchenkivs'kyi,Kiev City,0.044082960675527055,0.9367528011263042,0.24870900291075654,1e-10,True,160
90,KryvyiRig,Dnipropetrovs'k,0.04400126964236477,0.862123910237417,0.2057536661723889,4.9602443819019015e-09,True,191
229,Verkhn'orohachyts'kyi,Kherson,0.04312062462751738,0.5515152685717187,0.02520433260072449,0.14772762018144592,False,7
390,Voznesens'kyi,Mykolayiv,0.04291763087958216,0.9516117810271445,0.2176487572565095,1.9052386335260962e-09,True,13
291,Solomians'kyi,Kiev City,0.04261629137945001,0.8501698649982028,0.08470266903752856,0.0034133490529953403,True,35
339,Alchevs'ka,Luhans'k,0.04234818761540196,0.9530637080034449,0.22059137430116385,1e-10,True,23
351,Lutuhyns'kyi,Luhans'k,0.038898705971586206,0.5221588623308321,0.032544250578875784,0.1498478402543445,False,10
